titulo_do_texto,texto,descritor,comando,resposta_item,ano,tipo,origem,resposta,opcoes
"Aquele velho pote
","Aquele velho pote no canto da sala reporta­me a momentos únicos, vividos no Sítio Novo, onde meus avós e tios moravam, aos primos queridos que corriam junto comigo pela casa e terreiros de chão batido… Ouço o tchibum… do copo de cabo longo, pegando água geladinha dentro do pote de barro, que está todo úmido por fora porque o seu interior encontra­se gelado. Água sorvida com muito prazer, tirada com corda e carretel do poço fundo, que faz eco quando a criançada grita… Água abençoada que mata a sede da meninada suada, que corre sem parar e não cansa. As divagações surgem a qualquer tempo… a infância volta depois de cinquenta anos, a minha memória é uma caixinha com um HD em perfeito estado, e em um segundo a corrida memorial me alcança. Um pote no canto da sala e a festa de lembranças acontece. Tchibum!",D21 - Reconhecer o efeito decorrente do emprego de recursos estilísticos e morfossintáticos.,"Nesse texto, na palavra “meninada” o sufixo ""ada"" na palavra ""meninada"" produz o sentido de",b,7° ano,SPAECE,Avaliação paraná,indicar grupo.,"['demonstrar tamanho.\r', 'indicar grupo.', 'marcar ação.', 'sugerir deboche.']"
Penso e passo,Quando penso que uma palavra pode mudar tudo não fico mudo MUDO quando penso que um passo descobre um mundo não paro PASSO e assim que passo e mudo um novo mundo nasce na palavra que penso,D21 - Reconhecer o efeito decorrente do emprego de recursos estilísticos e morfossintáticos.,"No inicio do texto, a oposição da palavra ""Mudo"" sugere",a,7° ano,SPAECE,Avaliação paraná,mudança de atitude.,"['mudança de atitude.', 'semelhança de ideias', 'surgimento de uma ideia.', 'reflexão sobre a vida.']"
Empresa traz peixe fresco a Curitiba e gera renda extra para pescadores artesanais,"Foi durante a faculdade que o estudante de oceanografia da Universidade Federal do Paraná, Bryan Muller, 30, percebeu as dificuldades enfrentadas no dia a dia pelos pescadores artesanais em Matinhos e Pontal do Paraná. O gargalo principal está na comercialização dos pescados: como conseguir que os atravessadores paguem um preço justo aos pescadores? “Os pequenos pescadores não têm estrutura para estocar grandes quantidades de pescado e não têm acesso a canais de venda direta, por isso sempre dependeram dos atravessadores”, explica Muller. [...] Em setembro de 2018, a situação [...] desses produtores levou o estudante a criar a Olha o Peixe!, uma empresa com um olho no negócio e outro no impacto sobre pessoas e meio ambiente. Ao vender seus produtos para a Olha o Peixe!, os pescadores recebem valores bem acima dos praticados pelo mercado. Segundo Bryan, em alguns casos, a renda mensal dos pescadores aumentou em até 200%. Do preço para o consumidor final, 60% do dinheiro vai para o pescador, o restante para a empresa. [...] “A importância do projeto é também criar uma nova cultura entre os consumidores e fazer um contraponto à enorme indústria de tilápia e salmão”, diz Bryan. A zootecnista, Regina Nicodemo Cândido, 57, virou cliente assídua no final do ano passado. “Acho legal apoiar os pescadores. De longe não podemos fazer muita coisa, mas pequenos gestos podem fazer a diferença”, avalia. [...]","D20 - Identificar o efeito de sentido decorrente do uso da pontuação e de outras notações.
","Nesse texto, no trecho “... levou o estudante a criar a Olha o Peixe!,...” o ponto de
exclamação produz o sentido de",b,7° ano,SPAECE,Avaliação paraná,indicar entusiasmo.,"['expressar raiva.', 'indicar entusiasmo.', 'marcar deboche.', 'reforçar espanto.']"
O cômodo vazio,"Um homem acorda num cômodo vazio. [...] Confuso, tateia ao redor de si a fim de encontrar algo. Sem achar nada além do chão [...], põe-se sentado e olha para os lados: quatro paredes, encardidas, lhe guardam, silenciosas, num quadrilátero. Olha para cima: há um teto, no mesmo estado das paredes. Botando-se de gatinhas, teima em vasculhar o piso, agora indo além de onde despertou, seguindo por todos os lugares e cantos. [...] Nada. Desalentado, encara o teto. [...] Dá alguns pulos com os braços esticados, já sabendo que não daria certo, mas insiste mesmo assim, renovando seu desgosto. Angustiado, [...] senta-se no chão e leva as mãos à cabeça. Sua testa está escorregadia de suor, e fecha os olhos para pensar melhor. “Ora, este é um cômodo. E está vazio. Se estou nele... ... entrei por algum lugar.” Concluindo o óbvio, abre os olhos e vasculha novamente os arredores. Sente vergonha de si quando repara que havia uma porta numa das paredes, o tempo todo. Apalpa [...] os bolsos vazios: nada de chave. “Como saio?” Levanta-se e vai até a porta. Gira a maçaneta. “Está aberta!” Sai do cômodo e segue seu caminho, como já devia ter feito desde o começo desta estória.","D20 - Identificar o efeito de sentido decorrente do uso da pontuação e de outras notações.
","Nesse texto, no trecho “Se estou nele...” as reticências produzem o sentido de",b,7° ano,SPAECE,Avaliação paraná,mostrar uma reflexão por parte do personagem. ,"['indicar que o personagem esqueceu o que ia falar.\r', 'mostrar uma reflexão por parte do personagem. ', 'provocar dúvida no leitor.', 'revelar a indecisão do autor']"
Maria Castanha,"O céu estava cinzento e quase nunca aparecia o sol, mas enquanto não chovia iam brincar no jardim. Um jardim muito grande e bonito, com uma grade pintada de verde a toda volta, de modo que não havia perigo de os automóveis entrarem e atropelarem os meninos que corriam e brincavam à vontade, de muitas maneiras: uns andavam nos baloiços¹ e nos escorregas, [...] outros metiam os pés por entre as folhas secas e faziam-nas estalar – crac, crac – debaixo das botas, outros corriam de braços abertos atrás dos pombos, que se levantavam e fugiam, também de asas abertas. Era bom ir ao jardim. E mesmo sem haver sol, os meninos sentiam os pés quentinhos e ficavam com as bochechas encarnadas² de tanto correr e saltar. Uma vez apareceu no jardim uma menina diferente: não tinha bochechas encarnadas, mas uma carinha redonda, castanha, com dois grandes olhos escuros e brilhantes. – Como te chamas? – Perguntaram-lhe. – Maria. Às vezes chamam-me Maria Castanha. – Que engraçado, Maria Castanha! Queres brincar? – Quero. Foram brincar ao jogo do apanhar. A Maria Castanha corria mais do que todos. – Quem me apanha? Ninguém me apanha! – Ninguém apanha a Maria Castanha! [...]","D20 - Identificar o efeito de sentido decorrente do uso da pontuação e de outras notações.
","No trecho “– Que engraçado, Maria Castanha!” o ponto de exclamação produz o sentido de",d,7° ano,SPAECE,Avaliação paraná,reforçar a admiração dos meninos pelo nome da menina.,"['demonstrar a agitação da brincadeira das crianças.', 'marcar o susto da menina ao encontrar os meninos.', 'mostrar o medo dos automóveis sentido pelas crianças.', 'reforçar a admiração dos meninos pelo nome da menina.']"
A Viagem,"Um dia eu acordei com alguém me chamando. Eram João e Maria, me dando chocolates, caramelos e sonhos da casa de doces da bruxa. Pouco depois, Pinóquio me apresentou Gepeto. Os três porquinhos me mostraram pelos do lobo. Nesse momento, acordei e vi que estava no meu quarto. Um livro de capa verde no chão me lembrou que estava lendo contos de fada. Mas me senti como se tivesse sido teletransportado. Foi uma viagem inesquecível. Venha fazê­la comigo!","D20 - Identificar o efeito de sentido decorrente do uso da pontuação e de outras notações.
","Nesse texto, no trecho “Venha fazê-la comigo!”, o ponto de exclamação produz o sentido de",c,7° ano,SPAECE,Avaliação paraná,reforçar um convite.,"['apontar um lamento.', 'indicar deboche.', 'reforçar um convite.', 'revelar admiração.']"
De bem com a vida,"Filó, a joaninha, acordou cedo. – Que lindo dia! Vou aproveitar para visitar minha tia. [...] Filó colocou seu vestido amarelo de bolinhas pretas, passou batom cor-de-rosa, calçou os sapatinhos de verniz, pegou o guarda-chuva preto e saiu pela floresta: plecht, plecht... Andou, andou... e logo encontrou Loreta, a borboleta. – Que lindo dia! – E pra que esse guarda-chuva preto, Filó? – É mesmo! – pensou a joaninha. E foi para casa deixar o guardachuva. De volta à floresta: – Sapatinhos de verniz? Que exagero! – disse o sapo Tatá. Hoje nem tem festa na floresta. – É mesmo! – pensou a joaninha. E foi para casa trocar os sapatinhos. De volta à floresta: – Batom cor-de-rosa? Que esquisito! – disse Téo, o grilo falante. – É mesmo! – disse a joaninha. E foi para casa tirar o batom. – Vestido amarelo com bolinhas pretas? Que feio! Por que não usa o vermelho? – disse a aranha Filomena. – É mesmo! – pensou Filó. E foi para casa trocar de vestido. Cansada de tanto ir e voltar, Filó resmungava pelo caminho. O Sol estava tão quente que a joaninha resolveu desistir do passeio. Chegando em casa, ligou para tia Matilde. – Titia, vou deixar a visita para outro dia. – O que aconteceu, Filó? – Ah! Tia Matilde! Acordei cedo, me arrumei bem bonita e saí andando pela floresta. Mas no caminho... – Lembre-se, Filozinha... gosto de você do jeitinho que você é. Venha amanhã, estarei te esperando com um almoço bem gostoso. No dia seguinte, Filó acordou de bem com a vida. Colocou seu vestido amarelo de bolinhas pretas, amarrou a fita na cabeça, passou batom cor-de-rosa, calçou seus sapatinhos de verniz, pegou o guardachuva preto, saiu andando apressadinha pela floresta, plecht, plecht, plecht... e só parou para descansar no colo gostoso da tia Matilde.","D20 - Identificar o efeito de sentido decorrente do uso da pontuação e de outras notações.
",No trecho “– Que lindo dia!” o ponto de exclamação foi utilizado para,b,7° ano,SPAECE,Avaliação paraná,expressar a emoção da joaninha em relação ao dia.,"['destacar o fato de que a joaninha acordou cedo.', 'expressar a emoção da joaninha em relação ao dia.', 'mostrar a alegria da joaninha em se arrumar.', 'ressaltar a felicidade da joaninha ao visitar a tia']"
O pardal que queria ser águia,"“Minhocas! Eca! Isso é comida para bebês!”, Tuco, o pequeno pardal, nunca deixa de irritar seus amigos. Um dia, ele vai visitar sua mãe e diz: “Eu, mais tarde, vou me tornar uma águia dourada!”, “Mas, querido, mais tarde você vai continuar sendo o que já é: um pequeno pardal” – explica-lhe a mãe. “Não, eu vou ser uma ave de rapina poderosa! Você vai ver! Além do mais, hoje à noite no jantar, vou comer um carneiro que eu mesmo vou pegar.” Ele voa sobre o campo próximo e começa a pairar sobre um rebanho de ovelhas. Vê uma bem gorda e crava suas unhas nas costas dela. “Quem está aí nas minhas costas?” – pergunta a ovelha. “Sou eu, o Tuco! Você está presa! Eu capturei você!” – disse com sua voz baixinha. “Quem é você? Eu não consigo nem vê-lo” – perguntou a ovelha, se divertindo. “Você é minha prisioneira agora!” – diz Tuco. Mas, de repente, ele escorrega e cai entre as pernas da ovelha. Ela inclina-se até ele: “Oh, oh! Vejam só, uma águia dourada!” E ela pega o pequeno pardal entre os dentes e o carrega de volta para sua mãe, dizendo: “Estou trazendo de volta a sua terrível águia.”. Ele nem consegue olhar para a mãe. Essa foi a primeira e única aventura de Tuco, a águia dourada!","D20 - Identificar o efeito de sentido decorrente do uso da pontuação e de outras notações.
","No trecho “‘Eu não consigo nem vê-lo’ – perguntou a ovelha, se divertindo.” o travessão foi utilizado para",d,7° ano,SPAECE,Avaliação paraná,"marcar um comentário do narrador.","['destacar a opinião do autor', 'indicar a fala de uma personagem.', 'iniciar um parágrafo do texto', 'marcar um comentário do narrador.\r']"
Cabelos brancos,"Vivo meus dias em busca de calor, sabor e melodia. Sabe quando você encontra algo ou alguém que não te deixa sentir mais frio? Penso que isso torna tudo mais doce e mágico e te faz escutar dentro da sua cabeça voada uma música boba e romântica onde tudo cria algum sentido. Pois é, justo naquele momento onde tudo parecia tão confuso. Você acaba caindo na real com um tapinha na testa. E assim vai criando a consciência de que está em uma dessas furadas onde os supostos apaixonados sempre são vistos como verdadeiros babões. Mas às vezes o ser humano tem que entrar em uma dessas furadas para ter do que se lembrar. Viver algo desejável, vivenciável e imprevisível. Penso o quanto seria chato ter previsões de um ideológico futuro, sendo que o legal de um relacionamento são as surpresas que ele pode nos oferecer. Não é mesmo? Desenhar, sonhar e esperar algo que você deseja pode ser satisfatório. Mas e quando esse desenho sai do papel ainda melhor que seus rabiscos e detalhes? Não seria incrível? Você se surpreende, a vida nos surpreende. [...]",D20 - Identificar o efeito de sentido decorrente do uso da pontuação e de outras notações.,"Nesse texto, no trecho: “Não é mesmo?” o ponto de interrogação produz o sentido de",c,7° ano,SPAECE,Avaliação paraná,dialogar com o leitor.,"['negar uma ideia.', 'indicar desânimo.', 'dialogar com o leitor.', 'expressar um desejo;']"
Praias onde vale a pena curtir o verão,"Está chegando o momento mais aguardado do ano. É quando os estudos dão uma trégua, o trabalho fica para depois e as únicas coisas importantes para fazer são curtir o sol, praticar esportes e aproveitar a paisagem. Para onde ir? Os 9.198 quilômetros do litoral brasileiro abrigam lugares paradisíacos, onde o banho de mar e a areia branquinha são uma tentação para quem passou 11 meses do ano vendo o mar a distância. Mas é preciso ser realista. Há pedaços da costa perdidos para as férias. “Em geral, a condição do litoral brasileiro é ruim para os banhos de mar”, confirma Luiz Roberto Tommasi, um dos maiores especialistas em poluição marinha do país, que há anos avalia as condições das praias. Diante da imensidão azul, pode parecer que o quadro não é assim tão grave. Afinal, o mar deveria diluir a sujeira toda deixada pelos turistas concentrados nesta época do ano. Mas o excesso de esgoto não se manifesta apenas pelo cheiro desagradável, a cor escura da água e o lixo generalizado. O esgoto mata o plâncton que produz o oxigênio e carrega bactérias nocivas e materiais que não são degradados. Entra na cadeia alimentar marinha e contamina os peixes. [...] A poluição das praias não é causada apenas pelo esgoto e a sujeira deixada pelos banhistas mal-educados. O petróleo que vaza dos navios, por exemplo, causa danos ecológicos que perduram durante anos. Mas é um problema localizado. A poluição mais grave do litoral brasileiro é provocada pelo saneamento deficiente. Apenas 4,8% da população das cidades costeiras é atendida pela rede de esgoto. As consequências na qualidade da água do mar são percebidas por meio de exames do nível de coliformes fecais. As medições periódicas indicam se a praia está contaminada por esgoto [...]. Muitos jornais costumam dar os resultados desses exames, principalmente no verão. Mas os interessados também podem acompanhar a situação de sua praia favorita pela internet [...].",D20 - Identificar o efeito de sentido decorrente do uso da pontuação e de outras notações.,"No texto, no trecho “‘Em geral, a condição do litoral brasileiro é ruim para os banhos de mar...’” as aspas foram usadas para",b,7° ano,SPAECE,Avaliação paraná,indicar a fala de uma pessoa.,"['destacar o uso de expressão irônica. ', 'indicar a fala de uma pessoa.', 'introduzir um comentário do autor.', 'marcar um trecho importante.']"
"Débora Juchem, 33 anos","Prezada Índigo: Com imensa alegria informo que recebi teus livros. Quando comecei a ler, só larguei ao chegar no final!!! Com certeza, os leitores gaúchos ficarão mais alegres com tuas produções!! Tua maneira de escrever é realmente envolvente e cativa o leitor!! Parecia que eu estava dentro da história SENSACIONAL!!! Um abraço do tamanho do Rio Grande!",D19 – Reconhecer o efeito de sentido decorrente da escolha de uma determinada palavra ou expressão.,"Nesse texto, a palavra “SENSACIONAL” foi escrita com letras maiúsculas para",d,7° ano,SPAECE,Avaliação paraná,reforçar elogio.,"['indicar espanto.', 'marcar uma ironia.', 'mostrar uma ordem.', 'reforçar elogio.']"
Gatos detestam portas fechadas; veterinários explicam por quê,"Você sabia que os gatos odeiam portas fechadas? De acordo com especialistas, esses animais curiosos não gostam de pensar que não sabem o que tem por trás daquele ambiente. Segundo a veterinária Gabby Wild, você não consegue dizer para um gato o que fazer. “Então, quando fechamos uma porta para eles, eles naturalmente querem ter acesso ao que podem perceber como seu próprio território ou investigar o desconhecido”, disse ela [...]. A Dra. Wild acrescentou que os gatos podem não ser grandes fãs de portas fechadas por uma série de razões que remontam à sua natureza investigativa e territorial. “Eles podem detectar outros gatos, cheirar algo atraente ou desejar objetos, de comida a brinquedos, passando por humanos que coçam as costas, do outro lado da porta”, afirmou. [...]",D19 – Reconhecer o efeito de sentido decorrente da escolha de uma determinada palavra ou expressão.,"No texto, no trecho “... investigar o desconhecido...”, a palavra ""investigar"" produz o sentido de",b,7° ano,SPAECE,Avaliação paraná,explicitar que os gatos gostam de explorar novos ambientes.,"['demonstrar que os especialistas estavam fazendo uma pesquisa.', 'explicitar que os gatos gostam de explorar novos ambientes.', 'indicar que os gatos querem permanecer escondidos.', 'mostrar que os especialistas costumam lidar com mistérios.']"
