titulo_do_texto,texto,descritor,comando,resposta_item,ano,tipo,origem,resposta,opcoes
Epitáfio,Devia ter amado mais Ter chorado mais Ter visto o sol nascer Devia ter arriscado mais [...] Ter feito o que eu queria fazer Queria ter aceitado As pessoas como elas são [...] O acaso vai me proteger Enquanto eu andar distraído [...] Devia ter complicado menos Trabalhado menos Ter visto o sol se pôr Devia ter me importado menos Com problemas pequenos Ter morrido de amor Queria ter aceitado A vida como ela é A cada um cabe alegrias E a tristeza que vier,D21 - Reconhecer o efeito decorrente do emprego de recursos estilísticos e morfossintáticos.,"Nesse texto, há uma ideia de exagero nos versos:",d,9° ano,SPAECE,Simulado 01 SPAECE ,“A cada um cabe alegrias”,"['“Devia ter amado mais”', '“Ter visto o sol se pôr""', '“Ter morrido de amor” ', '“A cada um cabe alegrias”']"
A abelha gulosa,"A abelha era muito gulosa, de tal forma que passava o dia inteiro a beber o néctar das flores. Sua obrigação, como membro ativo da colmeia, era levar para a comunidade de abelhas o néctar necessário para o sustento diário de todas. Mas ela esquecia-se de tudo, tal era a obsessão de comer. — Abelhinha, não é correto o que você faz, disse-lhe uma de suas companheiras. Além de não cumprir a sua obrigação na colmeia, está prejudicando a si própria. Não vê, por acaso, como está ficando gorda? A abelha fazia-se de surda aos conselhos desse tipo e continuava no seu come-come. Engordou tanto, que aconteceu uma tragédia. A abelhinha regressou à colmeia, ao anoitecer. Tentou passar pela porta, mas não conseguiu. Estava gordíssima! Suas companheiras tentaram ajudá-la, mas foi tudo inútil e a abelhinha glutona teve que ficar lá fora, sujeita às intempéries. Na manhã seguinte, suas companheiras encontraram-na congelada. Não tinha conseguido resistir ao intenso frio da noite",D21 - Reconhecer o efeito decorrente do emprego de recursos estilísticos e morfossintáticos.,"Nesse texto, no trecho “Estava gordíssima!” a terminação “íssima” foi utilizada para",c,9° ano,SPAECE,Simulado 01 SPAECE ,enfatizar o quanto a abelha estava gorda.,"['destacar o conselho da amiga da abelha.', 'deixar o texto engraçado', 'enfatizar o quanto a abelha estava gorda.', 'revelar um comentário irônico.']"
Ah… a praia!,"Minha fascinação por ela é uma imensidão [...]. E pensar que é formada na mais tranquila e paciente espera. Foram necessários milhões de anos para podermos desfrutar de algumas horas do dia; no meu caso, de um bom feriado. Largo meus afazeres e presto somente atenção nela. O vento que vem de lá traz-me uma felicidade que não encontro nesse lado de cá. Mesmo que seja por pouco tempo, faço tudo para que esse tempo seja necessário, não para que desfrute de tudo que ela ofereça, e sim para que eu sempre sinta vontade de visitá-la. Sua voz é tão linda que tem concha que teima a imitá-la. Repare como ela é completa. Sinto o quente da areia, o frio da maré que chega. Oferece-me comida. Nunca me canso de falar dos ensinamentos da natureza. Tudo que vale a pena deve ser cultivado na medida certa do tempo. O perfeito é criado sem muita pressa, tornando-se duradouro. Que assim seja meu amor por ela. Quente quando está perto, frio quando a saudade aperta. Alimentado por tudo que está dentro dela. E que surja no tempo certo, para que possamos desfrutar na medida certa por um tempo indefinido. Para que no final eu possa prestar somente atenção nela.",D21 - Reconhecer o efeito decorrente do emprego de recursos estilísticos e morfossintáticos.,"Nesse texto, o trecho que apresenta termos com sentidos opostos é:",d,9° ano,SPAECE,Simulado 01 SPAECE ,"“Quente quando está perto, frio quando a saudade aperta”","['“Minha fascinação por ela é uma imensidão [...].”', '“Sua voz é tão linda que tem concha que teima a imitá-la.”', '“Nunca me canso de falar dos ensinamentos da natureza.”', '“Quente quando está perto, frio quando a saudade aperta”']"
Mulheres Possíveis,"[...] Sou a Miss Imperfeita, muito prazer. Trabalho todos os dias, ganho minha grana [...] sou ocupada, mas não uma workaholic. Por mais disciplinada e responsável que eu seja, aprendi duas coisinhas que operam milagres. Primeiro: a dizer NÃO. Segundo: a não sentir um pingo de culpa por dizer NÃO. [...] se não aprender a delegar, a priorizar e a se divertir, bye-bye vida interessante. Porque vida interessante não é ter a agenda lotada, não é topar qualquer projeto por dinheiro, não é atender a todos e criar para si a falsa impressão de ser indispensável. É ter tempo. Tempo para fazer nada. Tempo para fazer tudo. Tempo para uma massagem. Tempo para fazer um trabalho voluntário. Tempo, principalmente, para descobrir que você pode ser perfeitamente organizada e profissional sem deixar de existir. Porque nossa existência não é contabilizada por um relógio de ponto ou pela quantidade de memorandos virtuais que atolam nossa caixa postal. Existir, a que será que se destina? Destina-se a ter o tempo a favor, e não contra. A mulher moderna anda muito antiga. Acredita que, se não for super, se não for mega [...] não será bem avaliada. Se o trabalho é um pedação de sua vida, ótimo! [...] Desde que lembre de separar alguns bons momentos da semana para usufruir essa independência, senão é escravidão, a mesma que nos mantinha trancafiadas em casa, espiando a vida pela janela. Desacelerar tem um custo. Talvez seja preciso esquecer a bolsa Prada, o hotel decorado pelo Philippe Starck e o batom da M.A.C. Mas, se você precisa vender a alma ao diabo para ter tudo isso, francamente, está precisando rever seus valores",D21 - Reconhecer o efeito decorrente do emprego de recursos estilísticos e morfossintáticos.,O trecho abaixo que apresenta elementos com sentidos opostos é:,c,9° ano,SPAECE,Simulado 01 SPAECE ,“A mulher moderna anda muito antiga.”,"['“...aprendi duas coisinhas que operam milagres...”', '“Tempo para fazer um trabalho voluntário.” ', '“A mulher moderna anda muito antiga.”', '“Desacelerar tem um custo.”']"
A Cidade dos Resmungos,"Era uma vez um lugar chamado Cidade dos Resmungos, onde todos resmungavam, resmungavam, resmungavam. No verão, resmungavam que estava muito quente. No inverno, que estava muito frio. Quando chovia, as crianças choramingavam porque não podiam sair. Quando fazia sol, reclamavam que não tinham o que fazer. Os vizinhos queixavam-se uns dos outros, os pais queixavam-se dos filhos, os irmãos das irmãs. Todos tinham um problema, e todos reclamavam que alguém deveria fazer alguma coisa. Um dia chegou à cidade um mascate carregando um enorme cesto às costas. Ao perceber toda aquela inquietação e choradeira, pôs o cesto no chão e gritou: — Ó cidadãos deste belo lugar! Os campos estão abarrotados de trigo, os pomares carregados de frutas. As cordilheiras são cobertas de florestas espessas, e os vales banhados por rios profundos. Jamais vi um lugar abençoado por tantas conveniências e tamanha abundância. Por que tanta insatisfação? Aproximem-se, e eu lhes mostrarei o caminho para a felicidade. [...] ele puxou uma corda comprida do cesto e a esticou entre dois postes na praça da cidade. Então, segurando o cesto diante de si, gritou: — Povo desta cidade! Aqueles que estiverem insatisfeitos escrevam seus problemas num pedaço de papel e ponham dentro deste cesto. Trocarei seus problemas por felicidade! A multidão se aglomerou ao seu redor. Ninguém hesitou diante da chance de se livrar dos problemas. Todo homem, mulher e criança da vila rabiscou sua queixa num pedaço de papel e jogou no cesto. Eles observaram o mascate pegar cada problema e pendurá-lo na corda. [...] Então ele disse: — Agora cada um de vocês deve retirar desta linha mágica o menor problema que puder encontrar. Todos correram para examinar os problemas. Procuraram, manusearam os pedaços de papel e ponderaram, cada qual tentando escolher o menor problema. Depois de algum tempo a corda estava vazia. Eis que cada um segurava o mesmíssimo problema que havia colocado no cesto. Cada pessoa havia escolhido o seu próprio problema, julgando ser ele o menor da corda. Daí por diante, o povo daquela cidade deixou de resmungar o tempo todo. E sempre que alguém sentia o desejo de resmungar ou reclamar, pensava no mascate e na sua corda mágica.",D21 - Reconhecer o efeito decorrente do emprego de recursos estilísticos e morfossintáticos.,"Nesse texto, no trecho “Eis que cada um segurava o mesmíssimo problema...” a terminação ""íssimo"" foi empregada para",b,9° ano,SPAECE,Simulado 01 SPAECE ,enfatizar que ninguém trocou de problema.,"['demonstrar desprezo pelo problema.', 'enfatizar que ninguém trocou de problema.', 'indicar uma opinião do personagem.', 'ressaltar que o problema era insignificante.\r']"
Riqueza,"Qual a verdadeira riqueza desse mundo? No dicionário é sinônimo de abundância, ostentação e luxo. Mas acredito que esteja longe disso. Recentemente tive dois exemplos claros de que a riqueza de fato está contida em outra fonte. Vi um programa que mostrou a história de um senhor heptagenário que possui três empregos humildes, acorda as 4:00 para começar a rica jornada de trabalho, adorado por todos habitantes da pacata cidadezinha. Quer saber se é infeliz? Seu sorriso espontâneo a todo momento responde essa pergunta. Quer outro exemplo? Há alguns dias fui hospedado na casa de um grande amigo. Casa simples que acompanha uma família simples e linda. A todo momento sou questionado se estou sendo bem tratado. A todo momento recebo pedido de desculpas por qualquer falha na hospedagem. Para minha surpresa, encontro uma mesa farta sempre, e quando digo farta não significa nenhuma ostentação. Encontro também uma mãe autônoma que cria seus filhos com muita intuição e amor. Intuição que é expresso no coração bondoso de seus filhos; ajudado por um padrasto carinhoso e dedicado. Sou uma pessoa rica? Sou à medida que aprendo com o senhor heptagenário e choro com sua história de superação. Sou à medida que extraio dessa família todas as qualidades que preciso para ter uma família verdadeiramente rica de sentimentos e preceitos de vida. Quero viver dessa fonte de forma inesgotável.",D20 - Identificar o efeito de sentido decorrente do uso da pontuação e de outras notações.,"Nesse texto, no trecho “Qual a verdadeira riqueza desse mundo?” o ponto de interrogação no final da frase foi usado com a intenção de",b,9° ano,SPAECE,Simulado 01 SPAECE ,estimular uma reflexão no leitor.,"['acrescentar uma informação.', 'estimular uma reflexão no leitor.', 'fazer uma explicação.', 'indicar uma citação de outro autor.']"
A pesquisadora do IBGE e o minerim…,"Uma pesquisadora do IBGE bate à porta de um sitiozinho escondido no sul de Minas (perto de Varginha). — Essa terra dá mandioca? — Não, senhora. – Responde o roceiro. — Dá batata? — Também não, senhora! — Dá feijão? — Nunca deu! — Arroz? — De jeito nenhum! — Milho? — Nem brincando! — Quer dizer que por aqui não adianta plantar nada? — Ah! … Se prantá é diferente…",D20 - Identificar o efeito de sentido decorrente do uso da pontuação e de outras notações.,"Nesse texto, no trecho “...escondido no sul de Minas (perto de Varginha).” os parênteses foram usados para",a,9° ano,SPAECE,Simulado 01 SPAECE ,acrescentar uma informação.,"['acrescentar uma informação.', 'fazer um questionamento.', 'indicar um comentário irônico.', 'revelar uma opinião do autor.']"
Brasil é o 4º maior produtor de lixo plástico do mundo e recicla apenas 1%,"O Brasil é o 4º maior produtor de lixo plástico do mundo, atrás apenas de Estados Unidos, China e Índia. O país também é um dos que menos recicla este tipo de lixo: apenas 1,2% é reciclado, ou seja, 145.043 toneladas. Os dados são do estudo feito pelo Fundo Mundial para a Natureza (WWF, sigla em inglês). O relatório “Solucionar a Poluição Plástica – Transparência e Responsabilização"" será apresentado na Assembleia das Nações Unidas para o Meio Ambiente (UNEA-4), que será realizada em Nairóbi, no Quênia, de 11 a 15 de março. Veja os números: • Brasil produz 11.355.220 milhões de toneladas de lixo plástico por ano • Cada brasileiro produz 1 kg de lixo plástico por semana • Somente 145.043 toneladas de lixo plástico são recicladas • 2,4 milhões de toneladas de plástico são descartadas de forma irregular • 7,7 milhões de toneladas ficam em aterros sanitários • Mais de 1 milhão de toneladas não é recolhida no país O Brasil é um dos países que menos recicla no mundo ficando atrás de Yêmen e Síria e bem abaixo da média mundial que é de 9%. Dentre os maiores produtos de lixo plástico, é o que menos recicla.",D20 - Identificar o efeito de sentido decorrente do uso da pontuação e de outras notações.,"Nesse texto, no trecho “...estudo feito pelo Fundo Mundial para a Natureza (WWF, sigla em inglês).” os parênteses foram usados para",b,9° ano,SPAECE,Simulado 01 SPAECE ,fazer uma explicação.,"['expressão uma opinião.', 'fazer uma explicação.', 'indicar uma pausa.', 'sugerir um diálogo. ']"
Pipa - Um charme de lugar!,"Eu simplesmente amei esse lugar!!  Nas ruas de Pipa você ouve diversas línguas: holandês, espanhol, inglês [...] É incrível a quantidade de turistas estrangeiros que a vila recebe. Pipa é tão lindo que a sua fama corre o mundo.  As praias são lindas! A praia central de Pipa é maravilhosa. A praia do amor é linda vista de cima do Chapadão... a água desenha na areia o formato de um coração [...] É uma visão tão linda que nos faz meditar na grandeza de Deus!  Ah! E já ia esquecendo: outra coisa imperdível é ver o pôr do sol na Lagoa Guaraíras [...] Enfim, todos os dias que eu passei em Pipa foram maravilhosos [...] para quem gosta de admirar as belezas naturais do nosso país, é uma viagem que vale a pena.",D20 - Identificar o efeito de sentido decorrente do uso da pontuação e de outras notações.,"Nesse texto, no trecho “As praias são lindas!” o sinal de exclamação no final da frase sugere",a,9° ano,SPAECE,Simulado 01 SPAECE ,admiração.,"['admiração.', 'arrogância.', 'arrogância.', 'ironia.']"
Alvinho,"O Alvinho encarava um batente que não era mole. Se virava mais que charuto em boca de bêbado por uma grana muito mixuruca, que mal dava pra ele escorar os repuxos. Coisa que não é mole, hoje em dia, com a vida custando os olhos da cara como anda. Muito nego se abilola. Principalmente se o pinta é casado e tem montes de filhos pra sustentar. Às vezes, entra em bobeira e sai falando sozinho. E esse era o lance do Alvinho. Cheio de bronca com a sinuca de bico em que estava, ficava pelos botecos cavernosos e biroscas escamosas fazendo o maior quás-quás-quás da paróquia: — Estou na piorada. Sei que estou. Mas um dia vira o jogo. Tem que virar. Do jeito que está não pode ser. Vê eu? Mino linha de frente, me atucanando nessa zorra encardida. Tá direito? Tá, não. Eu, Alvinho boa cuca, cheio de embaixada, perdido aqui nessa joça. Entregue às traças. A perigo perpétuo. Um dia tem que mudar. E como esse papo que ele engrenava não dizia nada a ninguém, o jeito era ele mesmo continuar charlando: — Nasci pra ser tratado a pão-de-ló. E, no entanto, estou só comendo capim pela raiz. Não dá pedal. Um dia me arrumo. Claro que era conversa de bêbado. Nem o mais loque dos ouvintes botava fé. [...]",D20 - Identificar o efeito de sentido decorrente do uso da pontuação e de outras notações.,"Nesse texto, no trecho “Tá direito?” o ponto de interrogação no final da frase reforça o sentimento de",c,9° ano,SPAECE,Simulado 01 SPAECE ,indignação.,"['humildade.', 'indiferença.', 'indignação.', 'medo.']"
Patativa do Assaré,"Antônio Gonçalves da Silva, o Patativa do Assaré, nasceu na Serra de Santana, a 18 Km da cidade de Assaré, em 5 de março de 1909. Filho de Pedro Gonçalves da Silva e Maria Pereira da Silva, família pobre, perdeu o pai aos oito anos, passando a partir daí a trabalhar na roça para garantir o sustento da família. Logo que ingressou na escola, aos doze anos, passou a escrever poesia e produzir pequenos textos. [...] O nome “Patativa” surgiu devido à semelhança entre seu canto e o do pássaro Patativa, ave nordestina que possui um canto mavioso e singular, quando o jovem poeta tinha apenas vinte anos. Com um nome artístico, passou a viajar pela região cantando seus repentes e apresentando-se várias vezes na rádio Araripe. Patativa é considerado o gênio da literatura cearense [...].","D19 - Reconhecer o efeito de sentido decorrente da escolha de palavras, frases ou expressões.","Nesse texto, no trecho “Patativa é considerado o gênio da literatura cearense...” a palavra ""gênio"" foi usada para",c,9° ano,SPAECE,Simulado 01 SPAECE ,"enfatizar o talento de Patativa do Assaré.","['demonstrar desprezo pela literatura cearense.', 'destacar o temperamento forte do poeta.', 'enfatizar o talento de Patativa do Assaré.\r', 'ressaltar a humildade de Patativa']"
-,"Parece uma simples série sobre apocalipse zumbi? Errado! Sinceramente, depois da metade da segunda temporada, os zumbis são meros detalhes. A série é muito mais que isso. Ela analisa o ser humano e o que vem à tona nele em uma situação decadente como essa. Uma das minhas favoritas, recomendo.","D19 - Reconhecer o efeito de sentido decorrente da escolha de palavras, frases ou expressões.","No texto, no trecho “Uma das minhas favoritas, recomendo.”, a palavra ""recomendo"" sugere",c,9° ano,SPAECE,Simulado 01 SPAECE ,um conselho.,"['um alerta.\r', 'um aviso.\r', 'um conselho.', 'uma ordem.']"
