titulo_do_texto,texto,descritor,comando,resposta_item,resposta,opcoes,ano,tipo,origem
"Aquele velho pote
","Aquele velho pote no canto da sala reporta­me a momentos únicos, vividos no Sítio Novo, onde meus avós e tios moravam, aos primos queridos que corriam junto comigo pela casa e terreiros de chão batido… Ouço o tchibum… do copo de cabo longo, pegando água geladinha dentro do pote de barro, que está todo úmido por fora porque o seu interior encontra­se gelado. Água sorvida com muito prazer, tirada com corda e carretel do poço fundo, que faz eco quando a criançada grita… Água abençoada que mata a sede da meninada suada, que corre sem parar e não cansa. As divagações surgem a qualquer tempo… a infância volta depois de cinquenta anos, a minha memória é uma caixinha com um HD em perfeito estado, e em um segundo a corrida memorial me alcança. Um pote no canto da sala e a festa de lembranças acontece. Tchibum!",D23 - Identificar os níveis de linguagem e/ou as marcas linguísticas que evidenciam locutor e/ou interlocutor.,"Nesse texto, o trecho “... reporta-­me a momentos únicos...” é um exemplo de linguagem",c,formal.,"['científica.', 'científica.', 'formal.', 'regional.']",7° ano,SPAECE,Avaliação paraná
"LEI No 12.965, DE 23 DE ABRIL DE 2014","Art. 1o Esta Lei estabelece princípios, garantias, direitos e deveres para o uso da internet no Brasil e determina as diretrizes para atuação da União, dos Estados, do Distrito Federal e dos Municípios em relação à matéria. Art. 2o A disciplina do uso da internet no Brasil tem como fundamento o respeito à liberdade de expressão, bem como: I – o reconhecimento da escala mundial da rede; II – os direitos humanos, o desenvolvimento da personalidade e o exercício da cidadania em meios digitais; III – a pluralidade e a diversidade; IV – a abertura e a colaboração; V – a livre iniciativa, a livre concorrência e a defesa do consumidor; e VI – a finalidade social da rede. [...]",D23 - Identificar os níveis de linguagem e/ou as marcas linguísticas que evidenciam locutor e/ou interlocutor.,A linguagem utilizada nesse texto é comum em,c,textos normativos.,"['bate-papos na internet.', 'conversas entre amigos.', 'textos normativos.', 'registros arcaicos.']",7° ano,SPAECE,Avaliação paraná
"Filhote de onça­parda é encontrado em Loanda, no noroeste do Paraná","Um filhote de onça­parda foi encontrado na área rural de Loanda, no noroeste do Paraná, na noite deste sábado (19). O animal estava nas proximidades de uma plantação de cana e foi recolhido por um trabalhador rural. De acordo com a Polícia Ambiental, a oncinha é recém­nascida e, provavelmente, tem menos do que uma semana de vida. Sem nenhum ferimento, ela foi encaminhada neste domingo (20) para a fazenda Green Farm, no Mato Grosso do Sul, onde poderá receber os cuidados necessários. A Polícia Ambiental orienta que os filhotes de animais selvagens não sejam retirados imediatamente do local em que são encontrados, pois a mãe pode voltar para buscá­los. O Puma concolor, comumente conhecido como onça­parda, puma, suçuarana ou leão­baio, é o segundo maior felino do Brasil e está amplamente distribuído pelo país. [...] Por ser ilegal manter ou cuidar de espécies selvagens sem licença e até mesmo perigoso se aproximar de alguns deles, entrar em contato com os órgãos responsáveis é o primeiro passo que deve ser seguido caso alguém se depare com um animal selvagem. [...]",D23 - Identificar os níveis de linguagem e/ou as marcas linguísticas que evidenciam locutor e/ou interlocutor.,"Nesse texto, o trecho “O Puma concolor, comumente conhecido como onçaparda,...” é um exemplo de linguagem",b,científica.,"['arcaica.', 'científica.', 'informal.', 'regional.']",7° ano,SPAECE,Avaliação paraná
Inda quero a amarelinha,"Quero “roubar a bandeira” quero pular a corda, quero ser o “boca de forno”, quero brincar de “quente ou frio” antes que o dia fique morno... Mas deixar a brincadeira sem pisar o pé na grama, inda sair sem dar um pio? – “Vamentrar” – disse mainha, “Tomar banho, escovar dente!” Pode crer [...], gente E eu nem morta vou pra cama!",D23 - Identificar os níveis de linguagem e/ou as marcas linguísticas que evidenciam locutor e/ou interlocutor.,"Nesse texto, nos versos “inda sair sem dar um pio? / – ‘Vamentrar’ – disse mainha,” a linguagem utilizada é",a,falada em grupos de amigos.,"['falada em grupos de amigos.', 'própria de uma profissão.', 'utilizada em telejornais.', 'utilizada nos livros de Ciências.']",7° ano,SPAECE,Avaliação paraná
Praias onde vale a pena curtir o verão,"Está chegando o momento mais aguardado do ano. É quando os estudos dão uma trégua, o trabalho fica para depois e as únicas coisas importantes para fazer são curtir o sol, praticar esportes e aproveitar a paisagem. Para onde ir? Os 9.198 quilômetros do litoral brasileiro abrigam lugares paradisíacos, onde o banho de mar e a areia branquinha são uma tentação para quem passou 11 meses do ano vendo o mar a distância. Mas é preciso ser realista. Há pedaços da costa perdidos para as férias. “Em geral, a condição do litoral brasileiro é ruim para os banhos de mar”, confirma Luiz Roberto Tommasi, um dos maiores especialistas em poluição marinha do país, que há anos avalia as condições das praias. Diante da imensidão azul, pode parecer que o quadro não é assim tão grave. Afinal, o mar deveria diluir a sujeira toda deixada pelos turistas concentrados nesta época do ano. Mas o excesso de esgoto não se manifesta apenas pelo cheiro desagradável, a cor escura da água e o lixo generalizado. O esgoto mata o plâncton que produz o oxigênio e carrega bactérias nocivas e materiais que não são degradados. Entra na cadeia alimentar marinha e contamina os peixes. [...] A poluição das praias não é causada apenas pelo esgoto e a sujeira deixada pelos banhistas mal-educados. O petróleo que vaza dos navios, por exemplo, causa danos ecológicos que perduram durante anos. Mas é um problema localizado. A poluição mais grave do litoral brasileiro é provocada pelo saneamento deficiente. Apenas 4,8% da população das cidades costeiras é atendida pela rede de esgoto. As consequências na qualidade da água do mar são percebidas por meio de exames do nível de coliformes fecais. As medições periódicas indicam se a praia está contaminada por esgoto [...]. Muitos jornais costumam dar os resultados desses exames, principalmente no verão. Mas os interessados também podem acompanhar a situação de sua praia favorita pela internet [...].",D23 - Identificar os níveis de linguagem e/ou as marcas linguísticas que evidenciam locutor e/ou interlocutor.,"No texto, no trecho “O esgoto mata o plâncton que produz o oxigênio [...]. Entra na cadeia alimentar marinha...” as palavras ""plâncton"", ""oxigênio"" e ""cade alimentar"" são representativas da linguagem",a,científica.,"['científica.', 'culta.', 'culta.', 'regional.']",7° ano,SPAECE,Avaliação paraná
O tesouro da casa de lambrequins1 amarelos,"– Não vou! Gritava o guri abraçado ao videogame [...]. – VAMOS! E a última palavra sobre o assunto ficou por conta do pai. Depois de algumas afogadas o motor do fusca funcionou e pegaram a estrada. A lua já ia alta no céu quando o carro parou e a mãe disse eufórica: – Queridos, chegamos! O piá ainda chateado entrou na casa com passos pesados e bateu a porta da sala com força, tanta força que o único quadro que enfeitava a parede caiu e desmontou-se. [...] foi quando viu colado no verso da imagem um papel amarelecido pelo tempo. Desdobrou-o com cuidado e... – Um mapa do tesouro! Murmurou para ninguém ouvir. Limpou a lambança [...] sonhando com um baú cheio de moedas de ouro e joias [...]. – Trinta passos com pernas de pau para o sudoeste. Um.... dois. E a contagem de passos o levou à casinha. [...] Sentado, ficou olhando as paredes de madeira, as aranhas penduradas [...], foi quando percebeu uma tábua meio solta meio presa e fuçando ali descobriu uma lata de metal. – Será o tesouro? [...] Mostrou a lata ao pai que ao abri-la ficou encantado. [...] – Que que é? [...] – É uma coleção de figurinhas lançada por uma marca de bala [...]. Na manhã seguinte, pai e filho estavam na porta da casinha para recomeçar a busca [...]. E a busca pelo tesouro continuou nos dias que vieram e levou os caçadores à descoberta de brinquedos e brincadeiras. Bilboquê, pião, carrinho de rolimã, um mundo de alegrias e diversão. Um dia [...] o pai alcançou um lambrequim amarelo do telhado e [...] ali encontrou uma nova parte do mapa do tesouro que dizia para dar 33 giros em direção ao portão. – Um... dois... vinte e um... trinta. Pai e filho, de tão tontos com os giros, caíram no jardim em meio a bocas-de-leão, lírios, jasmins, sentiram o cheiro das flores, da grama e viram o céu azul [...]. Antes de partir de volta à capital, o piá [...] dobrou meticulosamente o papel amarelado e o colocou atrás do quadro e pensou: – Quem sabe outro menino bate a porta e descobre o tesouro [...]. *Vocabulário: 1 lambrequins: enfeite que fica habitualmente preso no teto das casas.",D23 - Identificar os níveis de linguagem e/ou as marcas linguísticas que evidenciam locutor e/ou interlocutor.,"Nesse texto, o termo “guri” é um exemplo de linguagem",a,arcaica.,"['arcaica.', 'científica.', 'padrão.', 'regional.']",8° ano,SPAECE,Avaliação paraná
A música brasileira já não é como antes?,"Nos últimos anos, tem­se discutido sobre como a música brasileira mudou, saindo dos padrões das décadas passadas e atingindo outros patamares, ritmos e estilos. A arte em si é sempre atacada e comparada entre o que realmente é arte ou deixa de ser arte. [...] O mesmo acontece no meio musical. Estilos que hoje se destacam no cenário brasileiro, como funk ou piseiro, vêm sendo comparados com o MPB. Desse modo, surge um questionamento: a música brasileira já não é como antes? Não, a música brasileira não é como antes, mas isso não quer dizer que o que temos hoje deixe de ser música. [...] [...] o que decide se uma música é boa ou não é nossa própria opinião. Mas ela não faz com que os demais tipos de música deixem de ser música. E pasmem, funk e piseiro também são MPB! Música Popular Brasileira é música surgida no Brasil e popularmente ouvida no Brasil, o nome é autoexplicativo. Certo que existe o gênero MPB (os clássicos que conhecemos), mas os atuais não deixam de ser músicas populares brasileiras. Música não se compara. Arte não se compara. Elas coexistem. Há quem goste de determinado tipo, e há quem não goste. A MPB ainda existe, seja através de Gilberto Gil, Gal Costa e Rita Lee, ou através de Ludmilla, Iza e Barões da Pisadinha. Temos uma cultura enorme que merece ser conhecida lá fora, não deixe com que suas preferências atrapalhem a potencialidade cultural que temos.",D23 - Identificar os níveis de linguagem e/ou as marcas linguísticas que evidenciam locutor e/ou interlocutor.,"Nesse texto, o trecho: “...tem ­se discutido sobre como a música brasileira mudou...” é um exemplo de linguagem",c,formal.,"['científica.', 'coloquial.', 'formal.', 'regional.']",8° ano,SPAECE,Avaliação paraná
Zootopia: Essa cidade é o bicho,"Já foi o tempo em que as animações e desenhos eram feitos somente para crianças. O novo trabalho da Disney complementa essa nova tendência: Zootopia: Essa cidade é o bicho ainda traz animais fofos, em uma aparente aventura no padrão Disney. Mas se engana quem acha que Zootopia é mais uma caricata produção voltada exclusivamente ao público infantil. Zootopia, cidade cenário do filme, não tem presença humana, mas traz todos os elementos das grandes cidades e os problemas do mundo adulto [...] de forma clara e aprofundada. Os habitantes desta metrópole foram retratados como animais das mais diferentes espécies, dividindo a utopia de uma sociedade pacífica e harmoniosa, onde presas e predadores convivem em paz e harmonia social. [...]. E assim a cidade de Zootopia se apresenta ao público, na visão de Judy, uma coelha do interior que queria ser policial na cidade grande, enfrentando [...] dificuldades para ser aceita em meio aos mais fortes e aptos. As belas cenas iniciais convidam o espectador a acompanhar a personagem em sua admiração pela grandeza da metrópole, ao som da belíssima trilha sonora da cantora colombiana Shakira, que também faz a dublagem original da personagem Gazelle, a gazela Pop Star de Zootopia. [...] E falando nos animais de Zootopia, tanto os coadjuvantes quanto principais são profundos em sua construção, mostrando um trabalho de muita qualidade na criação de cenas, diálogos e texturas em cada um dos personagens em cena. O filme alterna momentos no melhor estilo Disney de ternura e felicidade, assim como momentos adultos e cheios de conflitos e profundidade. [...] Um ponto negativo do filme foi o 3D, que não acrescenta muitos efeitos além de profundidade em algumas cenas, o que poderia ser melhor trabalhado pela Disney. Mas no geral, Zootopia foi um belo trabalho e merece destaque pela ousadia e profundidade de criação. Zootopia é realmente uma cidade que é o bicho!",D23 - Identificar os níveis de linguagem e/ou as marcas linguísticas que evidenciam locutor e/ou interlocutor.,"Nesse texto, a expressão “que é o bicho!” é um exemplo de linguagem",c,coloquial.,"['arcaica.', 'científica.', 'coloquial.', 'formal.']",8° ano,SPAECE,Avaliação paraná
Maria Fumaça,"Chegava dezembro e lá vinha minha mãe me consultar a respeito da minha vontade de ir ou não passar as férias na casa da vó Ana, em Teixeira Soares, pequena cidade do interior do Paraná. Parece que ainda ouço mamãe dizer. – Carlinhos, você vai ou não passar as férias na casa da vovó? – Eba! Sim, sim, sim. Minha resposta era sempre sim. Viajar de trem era uma aventura que eu não podia perder [...]. Eu levantava muito cedo no dia da viagem. O trem, que era a Maria Fumaça, saía de Guarapuava, cidade onde eu morava, às cinco horas da manhã, ainda era escuro. E só chegava ao meu destino final à tardinha, quase noite. Durante o dia inteiro ia parando em lugarejos e cidades por onde passava para embarque e desembarque de passageiros. Sei de cor os nomes de algumas estações do caminho percorrido para a casa da minha avó [...]. A [...] locomotiva1 levava um comboio2 de vagões de carga e na parte de trás eram os vagões de passageiros. [...]. De vez em quando, passava pelos vagões um funcionário da empresa vendendo guloseimas. – Huuumm! [...] Eu gostava de imitar, meio cantarolando, o barulho das rodas de ferro nos trilhos: – Telelém... talalá... telelém ... talalá. Esse barulho acelerava ou ficava mais lento conforme a velocidade da Maria Fumaça. Pela janela via-se a locomotiva lá em frente e uma fileira de vagões fazendo curvas, atravessando florestas e paredões de rochedos. [...] Quando a Maria Fumaça se aproximava de lugarejos ou estações, o trem diminuía a velo cidade e apitava alto, parecia dizer: – Chegueeeeeiii! As pessoas que aguardavam na estação tinham os rostos festivos e cheios de expectativas. O leva e traz diário de coisas e gente, de encontros e desencontros movimentava as cidades. Era assim, quando eu [...] viajava de Maria Fumaça para a casa da minha avó, em 1965.",D23 - Identificar os níveis de linguagem e/ou as marcas linguísticas que evidenciam locutor e/ou interlocutor.,"Nesse texto, no trecho “O trem, que era a Maria Fumaça, saía de Guarapuava, cidade onde
eu morava, às cinco horas da manhã...” a linguagem utilizada é",d,forma.,"['arcaica.', 'científica.', 'coloquia.', 'forma.']",8° ano,SPAECE,Avaliação paraná
A vizinha antipática que sabia matemática,"[...] Parecia uma sexta-feira como outra qualquer quando um caminhão de mudança parou em frente ao número 134 da minha rua, o sobrado geminado com o que eu moro. O pessoal da mudança descarregou uns móveis pesadões, uma escrivaninha irada, cheia de gavetinhas, parecida com a do meu avô. Do meu jardim, fiquei de olho em tudo. Quando o pessoal terminou de descarregar os móveis da casa, começou a tirar do caminhão umas caixas, milhares de caixas... Talvez centenas... Bem, umas dez caixas eu garanto que tinha. Aí apareceu uma senhora com cara de avó. Mas não vi nenhum neto. Uma mulher nem alta nem baixa e com os cabelos nem curtos nem compridos. Ela pagou aos homens da mudança e, quando ia entrando em casa, me viu. Não sei por que, mas me deu um frio na barriga, igual ao que tinha antes das aulas de matemática. A mulher me olhou, de baixo pra cima e de cima pra baixo, [...] entrou na casa e fechou a porta. [...] Ela podia ter dito alguma coisa do tipo: “Oi, você mora aí?”. Ou: “Oi, eu sou sua nova vizinha”. Mas nada. Fez que nem me viu [...]. Vizinha antipática! [...].",D23 - Identificar os níveis de linguagem e/ou as marcas linguísticas que evidenciam locutor e/ou interlocutor.,"Nesse texto, no trecho “... uma escrivaninha irada...” a palavra ""irada"" é um exemplo de linguagem",b,coloquial,"['científica', 'coloquial', 'formal.', 'regional.']",9° ano,SPACE,Avaliação paraná
Feliz por não ser ninguém,"[...] Acabo de voltar de uma viagem rumo ao conhecimento, usando como meio de transporte excelentes livros da literatura brasileira. Eles me levaram para Copacabana, no Rio de Janeiro do ano de 1989, onde fui recebido por Rubem Braga, a quem fui logo pedindo: Ensina-me algo que eu ainda não saiba e tenha o poder de mudar a minha vida para melhor. Leia de forma compulsiva. Quanto mais você lê menos problemas na vida você vê. Rubem Braga entrou para a história ao transformar a Crônica num dos gêneros literários mais apreciados pelos brasileiros em meados do século passado. Na contramão da imprensa que dependia de grandes fatos para transformar em manchetes, ele passou a ganhar notoriedade publicando, no cantinho dos jornais, crônicas deliciosas sobre as coisas mais banais e simples da vida. [...] Entre suas grandes obras, achei outro dia a crônica “O Padeiro”, cujo trecho memorável reproduzo abaixo: “Enquanto tomo café vou me lembrando de um homem modesto que conheci antigamente. Quando vinha deixar o pão e o jornal do dia à porta do apartamento ele apertava a campainha, mas, para não incomodar os moradores, avisava gritando:  — Não é ninguém, é o padeiro!  Interroguei-o uma vez: como tivera a ideia de gritar aquilo? “Então você não é ninguém?”  Ele abriu um sorriso largo.  Explicou que aprendera aquilo de ouvido.  Muitas vezes lhe acontecera bater a campainha de uma casa [...] e ouvir uma voz que vinha lá de dentro perguntando quem era; e ouvir a pessoa que o atendera dizer para dentro: “não é ninguém, não senhora, é o padeiro”. [...] O jornal e o pão estariam bem cedinho na porta de cada lar; e dentro do meu coração eu recebi a lição de humildade daquele homem entre todos útil e entre todos alegre [...]. Para tempos difíceis, recomendo para pessoas que amo a leitura do clássico “200 Crônicas Escolhidas” de Rubem Braga, dentro dele palavras que são pílulas para o tédio e a monotonia.",D23 - Identificar os níveis de linguagem e/ou as marcas linguísticas que evidenciam locutor e/ou interlocutor.,"Nesse texto, o trecho “Interroguei-o uma vez: como tivera a ideia de gritar aquilo?” é um exemplo de linguagem",c,formal.,"['científica.', 'coloquial.', 'formal.', 'regional.']",9° ano,SPACE,Avaliação paraná
