titulo_do_texto,texto,descritor,comando,resposta_item,resposta,opcoes,ano,tipo,origem,descritor_codigo
Sonda da Nasa pousa em Marte com sucesso para missão em “antigo lago”,"Na tarde desta quinta-feira, às 17h55 (horário de Brasília), a sonda Perseverance aterrissou em Marte após realizar com sucesso os “sete minutos de terror”, momento mais crítico de toda a viagem que começou em julho de 2020. É durante esse curto espaço de tempo que a NASA perde o sinal da sonda, que inicia sua entrada e descida na atmosfera do planeta vermelho, realizando manobras bastante complicadas. Para pousar com segurança na paisagem acidentada do planeta, foi utilizada a tecnologia de Navegação Relativa ao Terreno, uma das mais modernas e pela primeira vez em ação, com um sistema de piloto automático. Agora, a Perseverance vai explorar a atmosfera e o solo de Marte, coletando inclusive amostras de rochas para análises posteriores, pelo período de um ano marciano, ou seja, 687 dias terrestres. O prazo pode variar para mais ou para menos. O pouso aconteceu na cratera de Jezero, que tem cerca de 45 km de diâmetro [...]. Mas o Perseverance não está sozinho! Ainda em operação no planeta vermelho temos o robô Curiosity, que pousou na cratera de Gale em 2012, também tentando encontrar sinais de vida passada em Marte. [...]","D17 - Reconhecer o sentido das relações lógico-discursivas marcadas por conjunções, advérbios etc.","Nesse texto, no trecho “O prazo pode variar para mais ou para menos.”, o termo ""ou"" foi utilizado para",b,indicar alternância.,"['demarcar adição.', 'indicar alternância.', 'marcar explicação.', 'sugerir oposição.']",9° ano,SPACE,Avaliação paraná,1
Canastra das velhinhas,"Duas velhinhas, bem velhinhas estão jogando sua canastra semanal. Uma delas olha para a outra e diz: — Por favor, não me leve a mal. Nós somos amigas há tanto tempo e agora eu não consigo me lembrar do seu nome, veja só a minha cabeça. Qual é o seu nome, querida? A outra olha fixamente para a amiga, por uns dois minutos, coça a testa e diz: — Você precisa dessa informação para quando?",D09 - Reconhecer gênero discursivo.,Esse texto é um exemplo de,d,piada.,"['charge', 'conto.', 'notícia.\r', 'piada.']",9° ano,SPAECE,Simulado 01 SPAECE,3
Mulheres Possíveis,"[...] Sou a Miss Imperfeita, muito prazer. Trabalho todos os dias, ganho minha grana [...] sou ocupada, mas não uma workaholic. Por mais disciplinada e responsável que eu seja, aprendi duas coisinhas que operam milagres. Primeiro: a dizer NÃO. Segundo: a não sentir um pingo de culpa por dizer NÃO. [...] se não aprender a delegar, a priorizar e a se divertir, bye-bye vida interessante. Porque vida interessante não é ter a agenda lotada, não é topar qualquer projeto por dinheiro, não é atender a todos e criar para si a falsa impressão de ser indispensável. É ter tempo. Tempo para fazer nada. Tempo para fazer tudo. Tempo para uma massagem. Tempo para fazer um trabalho voluntário. Tempo, principalmente, para descobrir que você pode ser perfeitamente organizada e profissional sem deixar de existir. Porque nossa existência não é contabilizada por um relógio de ponto ou pela quantidade de memorandos virtuais que atolam nossa caixa postal. Existir, a que será que se destina? Destina-se a ter o tempo a favor, e não contra. A mulher moderna anda muito antiga. Acredita que, se não for super, se não for mega [...] não será bem avaliada. Se o trabalho é um pedação de sua vida, ótimo! [...] Desde que lembre de separar alguns bons momentos da semana para usufruir essa independência, senão é escravidão, a mesma que nos mantinha trancafiadas em casa, espiando a vida pela janela. Desacelerar tem um custo. Talvez seja preciso esquecer a bolsa Prada, o hotel decorado pelo Philippe Starck e o batom da M.A.C. Mas, se você precisa vender a alma ao diabo para ter tudo isso, francamente, está precisando rever seus valores",D21 - Reconhecer o efeito decorrente do emprego de recursos estilísticos e morfossintáticos.,O trecho abaixo que apresenta elementos com sentidos opostos é:,c,“A mulher moderna anda muito antiga.”,"['“...aprendi duas coisinhas que operam milagres...”', '“Tempo para fazer um trabalho voluntário.” ', '“A mulher moderna anda muito antiga.”', '“Desacelerar tem um custo.”']",9° ano,SPAECE,Simulado 01 SPAECE,4
Praias onde vale a pena curtir o verão,"Está chegando o momento mais aguardado do ano. É quando os estudos dão uma trégua, o trabalho fica para depois e as únicas coisas importantes para fazer são curtir o sol, praticar esportes e aproveitar a paisagem. Para onde ir? Os 9.198 quilômetros do litoral brasileiro abrigam lugares paradisíacos, onde o banho de mar e a areia branquinha são uma tentação para quem passou 11 meses do ano vendo o mar a distância. Mas é preciso ser realista. Há pedaços da costa perdidos para as férias. “Em geral, a condição do litoral brasileiro é ruim para os banhos de mar”, confirma Luiz Roberto Tommasi, um dos maiores especialistas em poluição marinha do país, que há anos avalia as condições das praias. Diante da imensidão azul, pode parecer que o quadro não é assim tão grave. Afinal, o mar deveria diluir a sujeira toda deixada pelos turistas concentrados nesta época do ano. Mas o excesso de esgoto não se manifesta apenas pelo cheiro desagradável, a cor escura da água e o lixo generalizado. O esgoto mata o plâncton que produz o oxigênio e carrega bactérias nocivas e materiais que não são degradados. Entra na cadeia alimentar marinha e contamina os peixes. [...] A poluição das praias não é causada apenas pelo esgoto e a sujeira deixada pelos banhistas mal-educados. O petróleo que vaza dos navios, por exemplo, causa danos ecológicos que perduram durante anos. Mas é um problema localizado. A poluição mais grave do litoral brasileiro é provocada pelo saneamento deficiente. Apenas 4,8% da população das cidades costeiras é atendida pela rede de esgoto. As consequências na qualidade da água do mar são percebidas por meio de exames do nível de coliformes fecais. As medições periódicas indicam se a praia está contaminada por esgoto [...]. Muitos jornais costumam dar os resultados desses exames, principalmente no verão. Mas os interessados também podem acompanhar a situação de sua praia favorita pela internet [...].",D23 - Identificar os níveis de linguagem e/ou as marcas linguísticas que evidenciam locutor e/ou interlocutor.,"No texto, no trecho “O esgoto mata o plâncton que produz o oxigênio [...]. Entra na cadeia alimentar marinha...” as palavras ""plâncton"", ""oxigênio"" e ""cade alimentar"" são representativas da linguagem",a,científica.,"['científica.', 'culta.', 'culta.', 'regional.']",7° ano,SPAECE,Avaliação paraná,0
"Filme produzido em MT alerta sobre as consequências do desequilíbrio ambiental no
mundo","O filme “Operação Ozônio”, que foi produzido em Mato Grosso, será exibido nesta segundafeira (29), no Cine Teatro Cuiabá. [...] O filme surgiu na sala de aula, em Primavera do Leste, a 244 km de Cuiabá. [...] A história começa em 2050, quando sete crianças voltam no tempo até o ano de 2021. O objetivo deles é auxiliar os pais, que neste momento ainda estão na infância, a proteger o meio ambiente. As emoções estão além das telas. Durante as filmagens, o diretor Bellamir Freire conta que viu os atores e seus pais sonharem juntos e se emocionarem. “O que achei incrível foi acompanhar a emoção das crianças e dos pais delas durante as filmagens. Eles choravam, se emocionavam e sonhavam juntos”, conta. O filme foi gravado nos municípios de Chapada dos Guimarães, Barra do Garças, Primavera do Leste e no Pantanal Mato­grossense. [...]",D06 - Distinguir fato de opinião relativa ao fato.,"Nesse texto, há uma opinião no trecho",c,“‘O que achei incrível foi acompanhar a emoção das crianças e dos pais delas...’”,"['“O filme ‘Operação Ozônio’, que foi produzido em Mato Grosso, será exibido nesta segunda\xadfeira (29), no Cine Teatro Cuiabá.”. ', '“A história começa em 2050, quando sete crianças voltam no tempo até o ano de 2021.”.', '“‘O que achei incrível foi acompanhar a emoção das crianças e dos pais delas...’”', '“O filme foi gravado nos municípios de Chapada dos Guimarães, Barra do Garças, Primavera do Leste...”.']",6° ano,SPAECE,Avaliação paraná,7
Um homem e uma mulher,"Aconteceu um acidente de trânsito, com dois carros batendo de frente, um guiado por um homem e o outro por uma mulher. Os carros ficaram completamente destruídos, mas, surpreendentemente, os motoristas nada sofreram. Ficaram completamente ilesos. Depois de saírem de seus carros, a mulher disse: — Interessante, você é um homem e eu uma mulher com os carros totalmente destruídos, mas estamos sem nenhum arranhão. Isto deve ser um sinal de Deus. Nós realmente precisávamos nos encontrar. Estava em nossos destinos nos conhecermos e ficarmos vivendo em paz, como grandes amigos até o fim de nossos dias. — Concordo! - disse o homem. A mulher continuou: — Isto com certeza é um sinal de Deus. E olhe outro milagre! Meu carro está completamente destruído, mas esta garrafa de vinho não se quebrou. Está claro que o destino quer que a bebamos para celebrar a nossa vida, que foi salva milagrosamente neste acidente. Vamos celebrar! Então a mulher tirou a rolha e passou a garrafa para o homem. Ele concordou sem titubear, e bebeu pelo gargalo a metade do vinho da garrafa. Depois devolveu a garrafa à mulher. Ela, imediatamente, sem beber uma gota, recolocou a rolha no gargalo. Sem entender nada, o homem perguntou: — Não vai beber a sua metade para comemorar? A mulher respondeu: — Agora não. Vou esperar a polícia chegar primeiro...",D19 – Reconhecer o efeito de sentido decorrente da escolha de uma determinada palavra ou expressão.,"Nesse texto, a expressão “Vamos celebrar!” foi utilizada para indicar",d,um convite.,"['uma ordem.', 'uma reclamação.', 'uma súplica.', 'um convite.']",9° ano,SPAECE,Simulado 01 SPAECE,14
De bem com a vida,"Filó, a joaninha, acordou cedo. – Que lindo dia! Vou aproveitar para visitar minha tia. [...] Filó colocou seu vestido amarelo de bolinhas pretas, passou batom cor-de-rosa, calçou os sapatinhos de verniz, pegou o guarda-chuva preto e saiu pela floresta: plecht, plecht... Andou, andou... e logo encontrou Loreta, a borboleta. – Que lindo dia! – E pra que esse guarda-chuva preto, Filó? – É mesmo! – pensou a joaninha. E foi para casa deixar o guardachuva. De volta à floresta: – Sapatinhos de verniz? Que exagero! – disse o sapo Tatá. Hoje nem tem festa na floresta. – É mesmo! – pensou a joaninha. E foi para casa trocar os sapatinhos. De volta à floresta: – Batom cor-de-rosa? Que esquisito! – disse Téo, o grilo falante. – É mesmo! – disse a joaninha. E foi para casa tirar o batom. – Vestido amarelo com bolinhas pretas? Que feio! Por que não usa o vermelho? – disse a aranha Filomena. – É mesmo! – pensou Filó. E foi para casa trocar de vestido. Cansada de tanto ir e voltar, Filó resmungava pelo caminho. O Sol estava tão quente que a joaninha resolveu desistir do passeio. Chegando em casa, ligou para tia Matilde. – Titia, vou deixar a visita para outro dia. – O que aconteceu, Filó? – Ah! Tia Matilde! Acordei cedo, me arrumei bem bonita e saí andando pela floresta. Mas no caminho... – Lembre-se, Filozinha... gosto de você do jeitinho que você é. Venha amanhã, estarei te esperando com um almoço bem gostoso. No dia seguinte, Filó acordou de bem com a vida. Colocou seu vestido amarelo de bolinhas pretas, amarrou a fita na cabeça, passou batom cor-de-rosa, calçou seus sapatinhos de verniz, pegou o guardachuva preto, saiu andando apressadinha pela floresta, plecht, plecht, plecht... e só parou para descansar no colo gostoso da tia Matilde.",D11 - Reconhecer os elementos que compõem uma narrativa e o conflito gerador.,"Qual é a personagem principal desse texto?
",c,A joaninha Filó.,"['A aranha Filomena.', 'A borboleta Loreta', 'A joaninha Filó.', 'A tia Matilde']",7° ano,SPAECE,Avaliação paraná,10
A origem do sorvete,"Para se refrescar do calor, os persas tomavam um sumo de frutas bem doce e gelado. Os egípcios também fabricavam os seus gelados há 3 mil anos, enquanto os árabes misturavam sumo de fruta com gelo. Na China, o leite era uma mercadoria cara. Por isso, a sobremesa predileta da nobreza era uma pasta, feita de leite e arroz, que era colocada na neve para solidificar. O principal problema era armazenar neve para o verão em rudimentares câmaras frigoríficas subterrâneas, com grossas paredes de pedra. Na Idade Média, quando os chineses já faziam gelados, adicionando a neve ao leite, Marco Polo (1254-1324), o explorador veneziano, levou o gelado para a Itália. Dali, os famosos sumos de fruta congelados alcançaram a França e logo depois o resto do mundo. No século XVI, o italiano Bernardo Buontalenti inventou o gelado à base de leite, mais macio e nutritivo. Na primeira metade do século seguinte, um outro italiano, Procópio Coltelli, criou a máquina de fazer gelados.",D07 - Diferenciar a informação principal das secundárias em um texto.,Qual é a informação principal desse texto?,c,A origem do sorvete no mundo.,"['A criação da máquina de fazer gelados.', 'A importação de produtos chineses.', 'A origem do sorvete no mundo.', 'A sobremesa predileta da nobreza.']",7° ano,SPAECE,Avaliação paraná,11
O celular está destruindo nossa memória,"O Instagram recebe 95 milhões de fotos por dia. São 1.100 novas imagens no sistema a cada segundo. Isso sem falar nos outros bilhões de cliques armazenados na memória dos celulares e que nunca verão a luz do dia. [...] As câmeras digitais acabaram com a limitação de poses. [...] Só tem um problema: esse hábito pode estar acabando com as nossas vidas – pelo menos com a forma como nos lembramos das nossas vidas. E pode estar distorcendo nossas personalidades também. [...] Quando você vive com uma câmera fotográfica de capacidade virtualmente infinita no bolso, a tendência é que você se preocupe mais em registrar momentos do que em prestar atenção neles. Aí complica. “Prestar atenção é fundamental para codificar informações na memória”, diz a italiana Giuliana Mazzoni, professora de psicologia da Universidade de Hull, no Reino Unido. Por via das dúvidas, vale lembrar: sua memória talvez agradeça se você parar e dar uma boa olhada no que vai fotografar antes de efetivamente apertar o botão. [...]","D14 - Reconhecer as relações entre partes de um texto, identificando os recursos coesivos que contribuem para sua continuidade.","Nesse texto, no trecho “... prestar atenção neles.” o termo ""neles"" retoma",d,momentos.,"['milhões.', 'cliques.', 'celulares.', 'momentos.']",7° ano,SPAECE,Avaliação paraná,5
O celular está destruindo nossa memória,"No trecho: “Para Giuliana Mazzoni, a era da fotografia instantânea também pode ter reverberações em nossa personalidade.” a palavra ""reverberações"" tem o mesmo sentido deO Instagram recebe 95 milhões de fotos por dia. São 1.100 novas imagens no sistema a cada segundo. Isso sem falar nos outros bilhões de cliques armazenados na memória dos celulares e que nunca verão a luz do dia. Nunca se fotografou tanto, claro. No início do século 21, ainda estávamos presos à quantidade de fotos que cabiam num rolo de filme – o rolo podia abrigar 12, 24 ou 36 imagens. Logo, o momento de tirar uma foto era especial. E poucos se aventuravam a esticar o braço e tirar uma foto da própria cara. A chance de dar ruim era gigantesca. As câmeras digitais acabaram com a limitação de poses. [...] E tome foto. De tudo. De todos. Só tem um problema: esse hábito pode estar acabando com as nossas vidas – pelo menos com a forma como nos lembramos das nossas vidas. E pode estar distorcendo nossas personalidades também. [...] Quando você vive com uma câmera fotográfica de capacidade virtualmente infinita no bolso, a tendência é que você se preocupe mais em registrar momentos do que em prestar atenção neles. Aí complica. “Prestar atenção é fundamental para codificar informações na memória”, diz a italiana Giuliana Mazzoni, professora de psicologia da Universidade de Hull, no Reino Unido [...]. Para Giuliana Mazzoni, a era da fotografia instantânea também pode ter reverberações em nossa personalidade. “As selfies e poses são planejadas, não têm naturalidade”, ela diz. “Se a gente se basear fortemente em fotos ao nos lembrarmos do passado, poderemos criar uma identidade própria distorcida com base na imagem que desejamos promover para os outros.” Por via das dúvidas, vale lembrar: sua memória talvez agradeça se você parar e dar uma boa olhada no que vai fotografar antes de efetivamente apertar o botão. [...]",D03 - Inferir o sentido de uma palavra ou expressão.,"No trecho: “Para Giuliana Mazzoni, a era da fotografia instantânea também pode ter reverberações em nossa personalidade.” a palavra ""reverberações"" tem o mesmo sentido de",d,repercussões.,"['alterações.', 'motivações.', 'preocupações.', 'repercussões.']",8° ano,SPAECE,Avaliação paraná,6
